{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38260.28', '0.00000000']], 'time': '2021-05-20T03:56:14.921638Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.22', '0.00000000']], 'time': '2021-05-20T03:56:29.329233Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38154.97', '0.00000000']], 'time': '2021-05-20T03:56:29.336017Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38417.51', '0.00000000']], 'time': '2021-05-20T03:56:29.337016Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.33', '0.46520000']], 'time': '2021-05-20T03:56:29.339408Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38416.03', '0.36987569']], 'time': '2021-05-20T03:56:29.339672Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38377.00', '0.30558754']], 'time': '2021-05-20T03:56:29.339672Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38305.94', '0.00000000']], 'time': '2021-05-20T03:56:29.341413Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38346.78', '0.00000000']], 'time': '2021-05-20T03:56:29.341413Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38303.19', '0.03884941']], 'time': '2021-05-20T03:56:29.343436Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38464.74', '0.01280690']], 'time': '2021-05-20T03:56:29.343497Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38443.00', '0.00000000']], 'time': '2021-05-20T03:56:29.343550Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38298.70', '0.00000000']], 'time': '2021-05-20T03:56:29.343974Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38327.66', '0.01474526']], 'time': '2021-05-20T03:56:29.348292Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38319.93', '0.05184983']], 'time': '2021-05-20T03:56:29.353649Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38364.05', '0.00000000']], 'time': '2021-05-20T03:56:29.358091Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38450.20', '0.00000000']], 'time': '2021-05-20T03:56:29.359339Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38395.28', '0.00000000']], 'time': '2021-05-20T03:56:29.359339Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38144.27', '0.02621625']], 'time': '2021-05-20T03:56:29.365417Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.28', '0.59116555']], 'time': '2021-05-20T03:56:29.366626Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38430.46', '0.01000000']], 'time': '2021-05-20T03:56:29.370602Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.61', '0.00000000']], 'time': '2021-05-20T03:56:29.380264Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38451.86', '0.00000000']], 'time': '2021-05-20T03:56:29.383959Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38380.12', '0.00000000']], 'time': '2021-05-20T03:56:29.383959Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38366.89', '0.41830000']], 'time': '2021-05-20T03:56:29.385431Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.27', '0.00000000']], 'time': '2021-05-20T03:56:29.385490Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38366.89', '0.00000000']], 'time': '2021-05-20T03:56:29.400910Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38303.19', '0.00000000']], 'time': '2021-05-20T03:56:29.404221Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39430.75', '0.00000000']], 'time': '2021-05-20T03:56:29.411596Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39431.86', '0.06300000']], 'time': '2021-05-20T03:56:29.411596Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38355.87', '0.05000000']], 'time': '2021-05-20T03:56:29.413869Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '2.48921909']], 'time': '2021-05-20T03:56:29.414658Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.47', '0.03522338']], 'time': '2021-05-20T03:56:29.414732Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38129.89', '0.00000000']], 'time': '2021-05-20T03:56:29.415646Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39499.99', '0.06400000']], 'time': '2021-05-20T03:56:29.425658Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '39495.99', '0.00260000']], 'time': '2021-05-20T03:56:29.425658Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '0.00000000']], 'time': '2021-05-20T03:56:29.426137Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38466.30', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38455.19', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38454.56', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38453.57', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38416.03', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38400.41', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38389.43', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38377.00', '0.00000000']], 'time': '2021-05-20T03:56:29.426698Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38299.18', '0.03522338']], 'time': '2021-05-20T03:56:29.429682Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.26', '0.84800000']], 'time': '2021-05-20T03:56:29.429905Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38215.50', '0.00000000']], 'time': '2021-05-20T03:56:29.435672Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.21', '0.00000000']], 'time': '2021-05-20T03:56:29.438549Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.33', '0.00000000']], 'time': '2021-05-20T03:56:29.439757Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.43', '0.03884941']], 'time': '2021-05-20T03:56:29.442495Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38299.18', '0.00000000']], 'time': '2021-05-20T03:56:29.443391Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.47', '0.00000000']], 'time': '2021-05-20T03:56:29.451164Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38299.44', '0.06490092']], 'time': '2021-05-20T03:56:29.451996Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38341.23', '0.04123959']], 'time': '2021-05-20T03:56:29.451996Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38231.69', '0.01000000']], 'time': '2021-05-20T03:56:29.456931Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '2.48969908']], 'time': '2021-05-20T03:56:29.471829Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.85', '0.46550000']], 'time': '2021-05-20T03:56:29.472372Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.85', '0.00000000']], 'time': '2021-05-20T03:56:29.484408Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.43', '0.00000000']], 'time': '2021-05-20T03:56:29.485447Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38352.56', '0.00000000']], 'time': '2021-05-20T03:56:29.486809Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38301.77', '0.00000000']], 'time': '2021-05-20T03:56:29.487270Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.28', '2.58051512']], 'time': '2021-05-20T03:56:29.489356Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.01', '0.03522338']], 'time': '2021-05-20T03:56:29.489869Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38364.69', '0.72421218']], 'time': '2021-05-20T03:56:29.490599Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.28', '1.98934957']], 'time': '2021-05-20T03:56:29.503903Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.48', '0.43990000']], 'time': '2021-05-20T03:56:29.507490Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38371.71', '0.65369058']], 'time': '2021-05-20T03:56:29.507969Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38367.58', '0.37214664']], 'time': '2021-05-20T03:56:29.513689Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38298.97', '0.02400000']], 'time': '2021-05-20T03:56:29.514245Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.48', '0.00000000']], 'time': '2021-05-20T03:56:29.519611Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38308.36', '0.03884941']], 'time': '2021-05-20T03:56:29.523526Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38238.70', '0.02400000']], 'time': '2021-05-20T03:56:29.528359Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38218.88', '0.00000000']], 'time': '2021-05-20T03:56:29.532086Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.29', '0.59116555']], 'time': '2021-05-20T03:56:29.534993Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38363.05', '0.00000000']], 'time': '2021-05-20T03:56:29.538791Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38371.57', '0.38755687']], 'time': '2021-05-20T03:56:29.540320Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38152.17', '0.00000000']], 'time': '2021-05-20T03:56:29.547795Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38464.74', '0.00000000']], 'time': '2021-05-20T03:56:29.551188Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38373.70', '2.16932808']], 'time': '2021-05-20T03:56:29.551577Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38305.30', '0.03884941']], 'time': '2021-05-20T03:56:29.556379Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38422.89', '0.00000000']], 'time': '2021-05-20T03:56:29.557220Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38361.27', '0.00000000']], 'time': '2021-05-20T03:56:29.560668Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38365.39', '0.10000000']], 'time': '2021-05-20T03:56:29.561460Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38380.12', '0.35155024']], 'time': '2021-05-20T03:56:29.562154Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38308.36', '0.00000000']], 'time': '2021-05-20T03:56:29.562209Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38299.44', '0.00000000']], 'time': '2021-05-20T03:56:29.563222Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38341.23', '0.00000000']], 'time': '2021-05-20T03:56:29.563222Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.46', '0.05981455']], 'time': '2021-05-20T03:56:29.566531Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38441.90', '0.01280690']], 'time': '2021-05-20T03:56:29.568740Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.01', '0.00000000']], 'time': '2021-05-20T03:56:29.578602Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38408.89', '0.01301782']], 'time': '2021-05-20T03:56:29.581289Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.01', '0.46790000']], 'time': '2021-05-20T03:56:29.586285Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38384.68', '0.29480165']], 'time': '2021-05-20T03:56:29.586409Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.67', '1.47203756']], 'time': '2021-05-20T03:56:29.596970Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38231.69', '0.00000000']], 'time': '2021-05-20T03:56:29.598334Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38441.90', '0.00000000']], 'time': '2021-05-20T03:56:29.598362Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38394.37', '0.29668765']], 'time': '2021-05-20T03:56:29.606435Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38305.30', '0.00000000']], 'time': '2021-05-20T03:56:29.607152Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.67', '0.00000000']], 'time': '2021-05-20T03:56:29.608521Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38327.66', '0.01298051']], 'time': '2021-05-20T03:56:29.617164Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '2.48956905']], 'time': '2021-05-20T03:56:29.619537Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38358.43', '0.44970000']], 'time': '2021-05-20T03:56:29.619805Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38220.13', '0.01000000']], 'time': '2021-05-20T03:56:29.620108Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.47', '0.05981455']], 'time': '2021-05-20T03:56:29.620748Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38399.50', '0.32679254']], 'time': '2021-05-20T03:56:29.629086Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '0.00000000']], 'time': '2021-05-20T03:56:29.636123Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.28', '0.00000000']], 'time': '2021-05-20T03:56:29.641681Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.02', '0.05981455']], 'time': '2021-05-20T03:56:29.643289Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38410.33', '0.38882017']], 'time': '2021-05-20T03:56:29.647651Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38171.70', '0.01000000']], 'time': '2021-05-20T03:56:29.648218Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38308.16', '0.03884941']], 'time': '2021-05-20T03:56:29.648297Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38459.44', '0.02284261']], 'time': '2021-05-20T03:56:29.652831Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38005.99', '0.01000000']], 'time': '2021-05-20T03:56:29.657321Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.68', '2.48969908']], 'time': '2021-05-20T03:56:29.659687Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38327.66', '0.01474526']], 'time': '2021-05-20T03:56:29.659723Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38290.47', '0.00000000']], 'time': '2021-05-20T03:56:29.666181Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38416.03', '0.39174595']], 'time': '2021-05-20T03:56:29.667810Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38151.22', '0.00000000']], 'time': '2021-05-20T03:56:29.669083Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38499.57', '0.00000000']], 'time': '2021-05-20T03:56:29.675499Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.46', '0.00000000']], 'time': '2021-05-20T03:56:29.677434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.02', '0.00000000']], 'time': '2021-05-20T03:56:29.677524Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38295.71', '0.05707509']], 'time': '2021-05-20T03:56:29.678473Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38344.15', '0.04698919']], 'time': '2021-05-20T03:56:29.678473Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38345.15', '0.05050542']], 'time': '2021-05-20T03:56:29.678552Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38309.27', '1.98947960']], 'time': '2021-05-20T03:56:29.679071Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38486.12', '0.00000000']], 'time': '2021-05-20T03:56:29.681775Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.01', '0.05981455']], 'time': '2021-05-20T03:56:29.686937Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38428.02', '0.33983798']], 'time': '2021-05-20T03:56:29.687054Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38358.42', '0.05981455']], 'time': '2021-05-20T03:56:29.688418Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38459.44', '0.00000000']], 'time': '2021-05-20T03:56:29.689941Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38479.67', '0.01774908']], 'time': '2021-05-20T03:56:29.694922Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.46', '0.05981455']], 'time': '2021-05-20T03:56:29.695157Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38371.72', '0.00000000']], 'time': '2021-05-20T03:56:29.695863Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38472.10', '0.01000000']], 'time': '2021-05-20T03:56:29.697054Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38345.15', '0.00000000']], 'time': '2021-05-20T03:56:29.702001Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38434.30', '0.32259773']], 'time': '2021-05-20T03:56:29.703959Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38308.16', '0.00000000']], 'time': '2021-05-20T03:56:29.706733Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38151.58', '0.05098161']], 'time': '2021-05-20T03:56:29.711485Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38300.01', '0.00000000']], 'time': '2021-05-20T03:56:29.712663Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38303.15', '0.03884941']], 'time': '2021-05-20T03:56:29.715920Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38484.92', '0.00000000']], 'time': '2021-05-20T03:56:29.716231Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38166.74', '0.13500000']], 'time': '2021-05-20T03:56:29.724402Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38440.77', '0.44339595']], 'time': '2021-05-20T03:56:29.724499Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38297.02', '0.05981455']], 'time': '2021-05-20T03:56:29.725056Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38274.34', '0.00000000']], 'time': '2021-05-20T03:56:29.726406Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38358.42', '0.00000000']], 'time': '2021-05-20T03:56:29.727434Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38512.14', '0.01000000']], 'time': '2021-05-20T03:56:29.728975Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38253.40', '0.00000000']], 'time': '2021-05-20T03:56:29.735719Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38307.90', '0.03884941']], 'time': '2021-05-20T03:56:29.736341Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38273.71', '0.00000000']], 'time': '2021-05-20T03:56:29.736369Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38329.10', '0.04929164']], 'time': '2021-05-20T03:56:29.740882Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38303.15', '0.00000000']], 'time': '2021-05-20T03:56:29.745134Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38469.67', '0.01000000']], 'time': '2021-05-20T03:56:29.747629Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38344.15', '0.00000000']], 'time': '2021-05-20T03:56:29.751551Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38333.74', '0.00000000']], 'time': '2021-05-20T03:56:29.756336Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38283.92', '0.04000000']], 'time': '2021-05-20T03:56:29.761861Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38608.87', '0.00000000']], 'time': '2021-05-20T03:56:29.763092Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38329.10', '0.24929164']], 'time': '2021-05-20T03:56:29.767529Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38448.96', '0.00000000']], 'time': '2021-05-20T03:56:29.772889Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38279.67', '0.05000000']], 'time': '2021-05-20T03:56:29.775849Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38334.99', '0.51683228']], 'time': '2021-05-20T03:56:29.778261Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38329.05', '0.59300000']], 'time': '2021-05-20T03:56:29.783446Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38234.93', '0.00000000']], 'time': '2021-05-20T03:56:29.784894Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38344.06', '0.00000000']], 'time': '2021-05-20T03:56:29.793721Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38447.10', '0.00000000']], 'time': '2021-05-20T03:56:29.800432Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38329.10', '0.04929164']], 'time': '2021-05-20T03:56:29.801425Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38437.02', '0.01817046']], 'time': '2021-05-20T03:56:29.802394Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38512.14', '0.00000000']], 'time': '2021-05-20T03:56:29.802490Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38651.55', '0.01000000']], 'time': '2021-05-20T03:56:29.802602Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38329.09', '0.50000000']], 'time': '2021-05-20T03:56:29.802732Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38374.42', '0.00000000']], 'time': '2021-05-20T03:56:29.803093Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38220.13', '0.00000000']], 'time': '2021-05-20T03:56:29.809794Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38307.90', '0.00000000']], 'time': '2021-05-20T03:56:29.815380Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38367.66', '0.05000000']], 'time': '2021-05-20T03:56:29.820913Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38214.93', '0.03593250']], 'time': '2021-05-20T03:56:29.821782Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38435.23', '0.01000000']], 'time': '2021-05-20T03:56:29.821922Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38351.52', '0.10981455']], 'time': '2021-05-20T03:56:29.827073Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37974.15', '0.00000000']], 'time': '2021-05-20T03:56:29.832025Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38354.46', '0.00000000']], 'time': '2021-05-20T03:56:29.833514Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38493.84', '0.01000000']], 'time': '2021-05-20T03:56:29.834801Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '37504.11', '0.00000000']], 'time': '2021-05-20T03:56:29.835930Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '36813.63', '0.00000000']], 'time': '2021-05-20T03:56:29.835930Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38245.87', '0.01000000']], 'time': '2021-05-20T03:56:29.841807Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38358.43', '0.00000000']], 'time': '2021-05-20T03:56:29.842576Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38271.51', '0.00000000']], 'time': '2021-05-20T03:56:29.842610Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38334.99', '0.00000000']], 'time': '2021-05-20T03:56:29.854580Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['sell', '38357.27', '0.47650000']], 'time': '2021-05-20T03:56:29.857945Z'}
{'type': 'l2update', 'product_id': 'BTC-USD', 'changes': [['buy', '38227.22', '0.11446820']], 'time': '2021-05-20T03:56:29.858107Z'}
